 FR1 , FR2 , FR3 , FR4 ,T1,T2,T3
242.177,6.406,1.402,0.899,0.6,0.147,0.433
259.184,15.556,0.667,0.969,0.243,0.014,0.397
259.184,15.556,1.333,0.969,0.359,0.1,0.4
259.184,15.556,2,0.969,0.568,0.146,0.308
255.02,15.897,1,0.977,0.277,0.05,0.397
255.02,15.897,1,0.977,0.268,0.048,0.383
250,15.969,0.333,0.926,0.303,0.001,0.335
250,15.969,0.667,0.926,0.314,0.017,0.477
250,15.969,0.667,0.926,0.271,0.015,0.412
381.381,15.969,0.333,1.066,0.15,0.001,0.531
381.381,15.969,0.667,1.066,0.118,0.019,0.584
381.381,15.969,0.667,1.066,0.112,0.018,0.554
127.255,18.508,0.667,1.06,0.31,0.012,0.358
128.153,8.965,1,1.013,0.334,0.042,0.779
147.484,10.851,0.184,0.285,0.566,0,0.183
111.512,7.791,0.182,0.301,0.641,0,0.184
106.326,6.649,0.182,0.299,0.781,0,0.222
266.667,20,1,0.998,0.177,0.075,0.337
99.688,9.524,0.549,1.289,0.795,0.002,0.234
149.063,9.619,0.827,1.165,0.533,0.019,0.286
300,29.167,0.417,1,0.204,0.003,0.285
400,12.195,1,0.712,0.146,0.056,0.604
400,12.195,1,0.712,0.146,0.056,0.604
400,9.901,1,0.712,0.127,0.049,0.646
400,9.95,1,0.712,0.134,0.051,0.68
400,6.734,1,0.712,0.09,0.035,0.675
400,6.734,1,0.712,0.093,0.035,0.693
113.249,8.083,0.456,0.545,0.772,0.001,0.255
132.963,8,0.456,0.609,0.715,0.002,0.471
314.433,24.359,1,0.718,0.213,0.053,0.357
314.433,15.2,1,0.766,0.183,0.045,0.478
314.433,11.783,1,0.65,0.166,0.041,0.607
314.433,8.155,1,0.711,0.136,0.034,0.688
314.433,5.846,1,0.72,0.104,0.026,0.729
314.433,4.903,1,0.817,0.097,0.024,0.757
150.246,11.692,1,0.68,0.617,0.018,0.26
150.246,8.261,1,0.744,0.601,0.018,0.343
150.246,5.846,1,0.753,0.507,0.015,0.406
150.246,4.903,1,0.854,0.468,0.014,0.42
139.5,16.076,0.506,0.927,0.579,0.003,0.406
158.125,19.844,0.504,0.989,0.489,0.003,0.488
200.8,15.938,0.504,0.895,0.269,0.003,0.442
240.157,16.889,1,0.887,0.298,0.044,0.354
240.157,16.17,1,0.887,0.291,0.043,0.361
267.368,16.17,1,0.942,0.25,0.052,0.566
200.246,17.417,1.161,0.618,0.562,0.071,0.458
200.246,17.667,1.161,0.618,0.453,0.057,0.372
302.488,10.099,0.642,0.97,0.189,0.014,0.42
297,20.833,1,1.302,0.185,0.052,0.655
297,20.833,1,1.302,0.153,0.043,0.541
289.855,20,0.5,0.854,0.215,0.004,0.477
289.855,20,1,0.854,0.237,0.046,0.531
288.462,20,1,0.854,0.232,0.045,0.514
298.507,20,1,0.854,0.213,0.045,0.517
303.553,19.901,1.002,0.878,0.223,0.052,0.606
302.02,20.1,1.005,0.921,0.221,0.054,0.593
303.553,19.901,1.005,0.898,0.224,0.054,0.612
302.525,19.901,1.005,0.884,0.218,0.05,0.575
313.613,20,1.007,0.771,0.204,0.051,0.618
313.613,20,1.007,0.771,0.196,0.049,0.595
313.613,20,1.003,1.043,0.203,0.051,0.533
291.262,10.938,1,0.573,0.324,0.052,0.282
328.037,12.5,1.017,0.573,0.287,0.063,0.286
366.055,12.188,0.998,0.573,0.238,0.065,0.263
237.143,12.5,0.664,0.573,0.374,0.011,0.285
292.233,12.188,0.669,0.573,0.293,0.015,0.292
320,11.818,0.674,0.573,0.377,0.024,0.389
289.524,10,0.645,0.68,0.243,0.012,0.43
247.154,9.901,0.642,0.71,0.296,0.011,0.364
227.273,19.868,1.366,0.749,0.583,0.058,0.306
800,20.75,1.333,1.049,0.04,0.113,0.743
800,20.75,1.333,1.049,0.038,0.109,0.717
800,20.75,1.333,1.049,0.038,0.108,0.708
800,20.75,1.6,1.049,0.047,0.157,0.694
800,20.75,1.6,1.049,0.046,0.156,0.687
800,25,0.8,0.824,0.035,0.033,0.852
800,25,0.8,0.824,0.035,0.033,0.852
800,25,1.067,0.824,0.037,0.074,0.812
800,25,1.067,0.824,0.037,0.074,0.812
800,25,1.067,0.824,0.032,0.065,0.704
800,25,1.067,0.824,0.03,0.061,0.668
227.273,19.868,1.366,0.749,0.569,0.059,0.31
227.273,19.868,1.366,0.749,0.569,0.059,0.31
209.79,22.828,0.067,1.425,0.272,0,0.08
300,24.754,0.067,0.921,0.191,0,0.058
209.79,22.828,0.1,1.425,0.253,0,0.11
202.703,22.5,0.074,0.968,0.302,0,0.063
202.02,22.5,0.074,0.968,0.338,0,0.07
200,22.5,0.074,0.968,0.348,0,0.07
204.082,22.5,0.074,0.968,0.34,0,0.072
300,25,0.074,1.021,0.231,0,0.075
300,25,0.074,1.021,0.223,0,0.072
298.507,25,0.074,1.021,0.195,0,0.062
295.567,25,0.074,1.021,0.209,0,0.065
245.098,12.5,0.669,0.961,0.262,0.013,0.335
357.214,12.346,1.011,0.941,0.16,0.068,0.336
146.341,16,1,1.335,0.521,0.033,0.313
290.323,29.412,1,1.122,0.207,0.061,0.403
187.5,19.802,0.667,1.068,0.349,0.011,0.342
263.158,20.202,0.5,0.853,0.181,0.004,0.513
