 FR1 , FR2 , FR3 , FR4 ,FR5,FR6,FR7,T
4.35,3.2,242.18,0.9,0.12,0.71,2,0.848
4.04,7.78,259.18,0.97,0.24,1.5,1,1.529
4.04,7.78,259.18,0.97,0.24,0.75,2,1.165
4.04,7.78,259.18,0.97,0.24,0.5,3,0.978
3.92,7.95,255.02,0.98,0.24,1,1.5,1.382
3.92,7.95,255.02,0.98,0.24,1,1.5,1.43
3.76,7.98,250,0.93,0.24,3,1,1.565
3.76,7.98,250,0.93,0.24,1.5,1,1.236
3.76,7.98,250,0.93,0.24,1.5,2,1.433
5.74,7.98,381.38,1.07,0.24,3,1,1.465
5.74,7.98,381.38,1.07,0.24,1.5,1,1.387
5.74,7.98,381.38,1.07,0.24,1.5,2,1.462
2.48,9.25,127.25,1.06,0.36,1.5,1,1.471
5.17,4.48,128.15,1.01,0.36,1,3,0.866
3.03,5.43,147.48,0.28,0.22,5.45,1,1.336
3.98,3.9,111.51,0.3,0.28,5.5,1,1.212
4.44,3.32,106.33,0.3,0.28,5.5,1,0.997
2.67,10,266.67,1,0.2,1,1,1.696
3.28,4.76,99.69,1.29,0.31,1.82,1,0.97
3.28,4.81,149.06,1.17,0.21,1.21,1,1.194
3,14.58,300,1,0.29,2.4,1,2.034
6.56,6.1,400,0.71,0.2,1,1,1.24
6.56,6.1,400,0.71,0.2,1,1,1.24
8.08,4.95,400,0.71,0.2,1,1,1.218
8.04,4.98,400,0.71,0.2,1,1,1.156
11.88,3.37,400,0.71,0.2,1,1,1.25
11.88,3.37,400,0.71,0.2,1,1,1.218
3.79,4.04,113.25,0.55,0.27,2.19,1.55,0.973
4.44,4,132.96,0.61,0.27,2.19,2.06,0.842
3.22,12.18,314.43,0.72,0.25,1,2,1.606
5.15,7.6,314.43,0.77,0.25,1,2,1.415
6.65,5.89,314.43,0.65,0.25,1,2,1.228
9.61,4.08,314.43,0.71,0.25,1,2,1.166
13.4,2.92,314.43,0.72,0.25,1,2,1.164
15.98,2.45,314.43,0.82,0.25,1,2,1.14
3.2,5.85,150.25,0.68,0.25,1,2,1.118
4.53,4.13,150.25,0.74,0.25,1,2,1.039
6.4,2.92,150.25,0.75,0.25,1,2,1.077
7.64,2.45,150.25,0.85,0.25,1,2,1.109
3.95,8.04,139.5,0.93,0.46,1.97,1,1.013
4,9.92,158.13,0.99,0.5,1.98,1,1.019
5.12,7.97,200.8,0.89,0.41,1.98,1,1.401
3.54,8.44,240.16,0.89,0.25,1,2,1.435
3.7,8.09,240.16,0.89,0.25,1,2,1.438
4.95,8.09,267.37,0.94,0.3,1,2,1.153
2.96,8.71,200.25,0.62,0.26,0.86,4.06,0.917
2.96,8.83,200.25,0.62,0.26,0.86,2,1.133
5.02,5.05,302.49,0.97,0.17,1.56,1,1.605
6,10.42,297,1.3,0.42,1,4.49,1.12
6,10.42,297,1.3,0.42,1,1.8,1.355
4.83,10,289.86,0.85,0.33,2,1,1.436
4.83,10,289.86,0.85,0.33,1,2,1.228
4.81,10,288.46,0.85,0.33,1,2,1.266
4.98,10,298.51,0.85,0.33,1,2,1.291
5.13,9.95,303.55,0.88,0.34,1,2,1.134
5.05,10.05,302.02,0.92,0.34,0.99,2,1.153
5.13,9.95,303.55,0.9,0.34,0.99,2,1.124
5.1,9.95,302.53,0.88,0.34,0.99,2,1.185
5.24,10,313.61,0.77,0.33,0.99,2,1.145
5.24,10,313.61,0.77,0.33,0.99,2,1.19
5.24,10,313.61,1.04,0.33,1,2,1.27
3.11,5.47,291.26,0.57,0.12,1,1,1.519
2.99,6.25,328.04,0.57,0.11,0.98,1,1.571
2.94,6.09,366.06,0.57,0.1,1,1,1.766
3.05,6.25,237.14,0.57,0.16,1.51,1,1.493
3.11,6.09,292.23,0.57,0.13,1.5,1,1.668
3,5.91,320,0.57,0.11,1.48,1,1.265
4.76,5,289.52,0.68,0.16,1.55,1,1.46
4.11,4.95,247.15,0.71,0.16,1.56,1,1.489
3.43,9.93,227.27,0.75,0.3,0.73,2,1.056
12,10.38,800,1.05,0.31,0.75,5,1.116
12,10.38,800,1.05,0.31,0.75,4,1.157
12,10.38,800,1.05,0.31,0.75,3,1.171
12,10.38,800,1.05,0.31,0.63,6,1.113
12,10.38,800,1.05,0.31,0.63,5,1.125
10,12.5,800,0.82,0.31,1.25,2.75,1.087
10,12.5,800,0.82,0.31,1.25,1.75,1.087
10,12.5,800,0.82,0.31,0.94,3.67,1.083
10,12.5,800,0.82,0.31,0.94,2.67,1.083
10,12.5,800,0.82,0.31,0.94,1.67,1.25
10,12.5,800,0.82,0.31,0.94,1,1.316
3.43,9.93,227.27,0.75,0.3,0.73,2,1.066
3.43,9.93,227.27,0.75,0.3,0.73,2,1.066
3.46,11.41,209.79,1.43,0.38,15,1,2.84
3.05,12.38,300,0.92,0.25,15,1,4.014
3.46,11.41,209.79,1.43,0.38,10,1,2.757
3.38,11.25,202.7,0.97,0.38,13.5,1,2.737
3.37,11.25,202.02,0.97,0.38,13.5,1,2.453
3.33,11.25,200,0.97,0.38,13.5,1,2.391
3.4,11.25,204.08,0.97,0.38,13.5,1,2.422
3,12.5,300,1.02,0.25,13.5,1,3.274
3,12.5,300,1.02,0.25,13.5,1,3.385
2.99,12.5,298.51,1.02,0.25,13.5,1,3.894
2.96,12.5,295.57,1.02,0.25,13.5,1,3.642
3.92,6.25,245.1,0.96,0.2,1.49,1,1.639
4.03,6.17,357.21,0.94,0.14,0.99,1,1.771
3.05,8,146.34,1.33,0.33,1,1,1.153
3.29,14.71,290.32,1.12,0.33,1,1,1.492
3.16,9.9,187.5,1.07,0.33,1.5,1,1.424
5.21,10.1,263.16,0.85,0.4,2,1,1.433
